user_id,age,gender,country,premium_user,subscription_months,monthly_subscription_fee,payment_method,daily_listening_hours,songs_played_per_day,session_duration,listening_days_per_week,skip_rate,playlist_count,liked_songs,search_frequency,shares_per_month,followed_artists,last_active_days,device_type,notifications_clicked,ads_clicked,monthly_spending,premium_renewals,lifetime_value,engagement_score,retention_score,satisfaction_score,churn
1,56,Male,France,1,39,9.99,UPI,0.98,92,83.42,3,2.06,1,2391,29,5,191,27,Mobile,32,11,9.99,21,389.61,43.76,2.64,100.0,0
2,42,Male,South Korea,0,0,0.0,Free Plan,7.8,19,112.18,7,61.84,43,1267,63,24,130,4,Tablet,6,20,0.0,0,0.0,100.0,75.45,100.0,0
3,35,Male,India,0,0,0.0,Free Plan,0.32,134,165.79,7,68.33,43,2556,7,14,34,13,Mobile,35,49,0.0,0,0.0,51.96,11.96,67.44,1
4,19,Female,Australia,0,0,0.0,Free Plan,4.63,195,202.94,4,93.95,35,4911,14,7,214,27,Mobile,61,39,0.0,0,0.0,100.0,31.31,76.17,1
5,35,Other,Canada,1,25,4.99,Credit Card,2.51,49,22.52,7,42.34,0,2027,7,23,62,10,Tablet,80,7,4.99,2,124.75,48.47,20.77,91.38,0
6,22,Female,Brazil,1,28,14.99,Credit Card,5.06,166,27.42,7,31.1,23,804,98,11,213,26,Tablet,64,34,14.99,4,419.72,80.79,32.46,100.0,1
7,20,Male,Canada,1,14,14.99,UPI,4.28,19,31.06,4,10.79,31,2790,51,28,95,3,Desktop,22,38,14.99,12,209.86,90.95,83.21,100.0,0
8,46,Male,Brazil,0,0,0.0,Free Plan,1.46,70,151.72,6,63.34,5,4891,27,11,43,19,Desktop,61,10,0.0,0,0.0,68.16,20.66,75.63,0
9,45,Male,Brazil,1,1,4.99,UPI,3.53,120,87.85,3,0.7,7,4744,61,4,224,18,Desktop,43,23,4.99,14,4.99,97.44,70.23,100.0,0
10,49,Male,Germany,0,0,0.0,Free Plan,7.78,56,63.02,7,49.72,48,1636,55,16,186,16,Desktop,1,27,0.0,0,0.0,100.0,61.08,100.0,0
11,54,Male,USA,0,0,0.0,Free Plan,1.33,176,110.23,6,24.21,3,3510,74,23,122,16,Tablet,37,23,0.0,0,0.0,56.0,24.74,94.55,0
12,51,Female,Australia,1,16,4.99,Credit Card,2.7,74,168.52,3,59.09,35,1369,66,18,147,6,Web Player,32,39,4.99,6,79.84,65.54,38.81,83.95,0
13,18,Other,Japan,0,0,0.0,Free Plan,7.41,46,65.62,4,17.5,47,1016,59,16,1,0,Web Player,11,4,0.0,0,0.0,100.0,94.75,100.0,0
14,26,Male,UK,1,16,14.99,PayPal,7.12,124,213.63,4,8.41,7,1445,83,29,226,15,Desktop,88,34,14.99,17,239.84,100.0,74.98,100.0,0
15,35,Female,Australia,1,41,4.99,PayPal,2.05,25,47.02,7,72.09,32,2735,75,26,21,13,Desktop,37,37,4.99,12,204.59,64.9,23.77,74.2,0
16,25,Other,India,0,0,0.0,Free Plan,5.23,115,120.74,5,23.02,47,4754,3,2,191,16,Web Player,16,43,0.0,0,0.0,100.0,69.09,100.0,1
17,46,Female,Canada,1,41,4.99,Apple Pay,3.54,185,139.49,4,85.3,20,2975,86,0,255,2,Web Player,17,24,4.99,9,204.59,87.9,59.31,75.05,0
18,20,Female,France,0,0,0.0,Free Plan,5.43,155,37.92,3,29.53,25,784,32,8,298,21,Web Player,38,28,0.0,0,0.0,89.54,49.18,100.0,0
19,43,Other,India,1,13,9.99,Credit Card,5.1,24,157.74,6,79.58,11,1166,91,1,287,22,Tablet,85,24,9.99,21,129.87,82.51,25.64,85.71,1
20,39,Male,Germany,0,0,0.0,Free Plan,2.57,192,81.76,5,27.15,43,4,67,5,46,2,Tablet,39,15,0.0,0,0.0,49.54,38.39,99.27,1
21,59,Female,UK,1,19,9.99,Debit Card,0.4,121,24.01,7,69.6,0,1081,0,14,289,29,Desktop,47,24,9.99,7,189.81,29.26,0.0,67.2,1
22,18,Male,Brazil,1,5,9.99,Apple Pay,3.47,80,138.02,3,75.78,28,4045,91,4,46,16,Desktop,61,4,9.99,11,49.95,91.45,44.72,79.46,0
23,43,Male,Brazil,0,0,0.0,Free Plan,3.82,105,98.65,2,94.91,35,2849,51,9,249,18,Desktop,95,0,0.0,0,0.0,96.64,41.17,71.64,0
24,21,Other,India,0,0,0.0,Free Plan,4.77,88,140.24,2,57.34,32,4000,60,18,100,11,Tablet,64,32,0.0,0,0.0,100.0,66.3,95.18,0
25,46,Male,India,0,0,0.0,Free Plan,5.02,85,159.09,5,84.49,25,3069,33,18,104,6,Web Player,57,49,0.0,0,0.0,98.59,64.24,82.86,0
26,46,Male,Canada,1,36,9.99,Apple Pay,6.05,196,140.34,3,41.26,17,2143,23,22,189,4,Web Player,54,12,9.99,22,359.64,99.88,81.5,100.0,0
27,58,Female,USA,1,20,4.99,Google Pay,2.52,23,96.46,4,95.85,18,4171,8,6,283,13,Tablet,51,18,4.99,14,99.8,90.06,41.81,64.67,0
28,22,Other,Japan,1,21,4.99,Credit Card,1.09,185,121.19,7,99.59,4,732,74,17,238,11,Mobile,73,43,4.99,16,104.79,32.12,0.0,55.66,0
29,24,Female,France,0,0,0.0,Free Plan,6.61,126,39.45,5,8.48,18,3719,64,21,144,6,Mobile,44,3,0.0,0,0.0,100.0,88.46,100.0,0
30,48,Other,Australia,1,10,9.99,UPI,1.07,199,64.62,2,46.87,19,455,60,8,0,2,Mobile,91,48,9.99,23,99.9,24.75,7.69,81.91,0
31,23,Female,Canada,0,0,0.0,Free Plan,7.41,168,135.16,4,7.54,46,1256,48,13,142,0,Mobile,53,2,0.0,0,0.0,100.0,97.74,100.0,0
32,28,Female,France,0,0,0.0,Free Plan,1.03,121,70.18,4,64.68,7,2745,59,17,27,27,Mobile,40,35,0.0,0,0.0,42.6,0.0,72.81,1
33,34,Male,USA,1,13,4.99,Apple Pay,7.31,138,228.2,5,61.34,1,9,55,29,241,26,Mobile,4,32,4.99,21,64.87,85.74,28.34,100.0,1
34,49,Other,USA,0,0,0.0,Free Plan,6.05,90,199.85,1,83.83,33,2152,98,0,5,27,Mobile,68,30,0.0,0,0.0,98.77,33.12,88.34,1
35,20,Male,Brazil,1,37,9.99,Debit Card,3.15,89,110.88,6,25.14,44,716,3,29,287,1,Web Player,94,7,9.99,6,369.63,75.01,65.97,100.0,0
36,51,Female,Australia,1,12,4.99,Google Pay,7.75,61,143.64,7,2.88,14,1252,84,13,65,10,Tablet,37,33,4.99,5,59.88,100.0,84.14,100.0,0
37,35,Female,UK,1,38,4.99,PayPal,2.52,110,207.66,5,79.65,9,3472,73,16,68,1,Desktop,52,1,4.99,12,189.62,67.82,42.42,72.77,0
38,28,Other,Japan,1,16,14.99,UPI,1.28,12,47.32,4,34.57,2,1887,66,26,92,17,Mobile,50,18,14.99,20,239.84,37.27,1.4,89.12,0
39,45,Female,Australia,0,0,0.0,Free Plan,1.14,16,53.49,2,12.87,25,2296,46,24,213,14,Web Player,93,42,0.0,0,0.0,57.51,32.65,99.27,1
40,34,Female,Germany,1,35,4.99,PayPal,1.83,131,222.15,6,61.83,22,2125,87,1,153,13,Tablet,55,6,4.99,2,174.65,58.2,20.15,78.24,1
41,35,Female,Australia,1,15,4.99,Apple Pay,1.62,43,80.69,7,8.92,43,4632,16,12,211,24,Web Player,9,2,4.99,8,74.85,94.57,55.89,100.0,0
42,53,Other,Australia,1,8,4.99,PayPal,1.2,173,84.3,4,64.59,33,3514,55,26,228,24,Mobile,52,21,4.99,20,39.92,75.04,19.66,73.7,0
43,21,Female,France,1,3,14.99,Apple Pay,7.86,10,98.5,4,91.74,14,645,93,23,61,24,Desktop,78,10,14.99,7,44.97,95.1,31.58,93.43,0
44,22,Female,South Korea,0,0,0.0,Free Plan,3.52,24,61.97,7,70.72,13,4415,37,4,138,3,Mobile,2,32,0.0,0,0.0,92.75,67.03,82.24,0
